Timestamp,¿Que día/horarios te conviene? [Lunes],¿Que día/horarios te conviene? [Martes],¿Que día/horarios te conviene? [Miercoles],¿Que día/horarios te conviene? [Jueves],¿Que día/horarios te conviene? [Viernes],¿Cuantos sabes de programación?,¿Tenes algún tema o librería en particular que te gustaría aprender?(esta pregunta es opcional)
01/04/2020 00:22:19,Noche(1730-2030),Noche(1730-2030),Ninguna,Ninguna,Ninguna,5,
01/04/2020 00:30:13,"Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)",1,
01/04/2020 00:30:38,Noche(1730-2030),"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",Ninguna,Noche(1730-2030),Ninguna,3,"Procesamiento de imágenes satelitales, generación de cartografía a partir de datos geoteferenciados. Gracias!!!!"
01/04/2020 00:33:26,"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",1,
01/04/2020 00:34:41,Mañana(1030-1330),Ninguna,Mañana(1030-1330),Ninguna,Mañana(1030-1330),2,
01/04/2020 00:45:19,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),4,
01/04/2020 00:48:30,Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),3,
01/04/2020 01:07:07,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),2,
01/04/2020 01:45:48,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",1,"Esta es mi inscripción definitiva, en el anterior formulario puse mal los horarios."
01/04/2020 02:19:31,Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),4,
01/04/2020 02:39:26,Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),1,
