Timestamp,¿Que día/horarios te conviene? [Lunes],¿Que día/horarios te conviene? [Martes],¿Que día/horarios te conviene? [Miercoles],¿Que día/horarios te conviene? [Jueves],¿Que día/horarios te conviene? [Viernes],¿Cuantos sabes de programación?,¿Tenes algún tema o librería en particular que te gustaría aprender?(esta pregunta es opcional)
02/04/2020 20:13:32,"Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)",Mañana(1030-1330),"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",2,
02/04/2020 20:47:43,Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),1,
02/04/2020 20:35:51,Mañana(1030-1330),"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",Mañana(1030-1330),Ninguna,Mañana(1030-1330),2,
03/04/2020 01:22:59,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),2,
03/04/2020 06:11:11,Mañana(1030-1330),Tarde(1330-1630),Mañana(1030-1330),Tarde(1330-1630),Mañana(1030-1330),1,
03/04/2020 10:44:13,Mañana(1030-1330),Ninguna,Mañana(1030-1330),Ninguna,Mañana(1030-1330),2,
03/04/2020 11:45:03,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Mañana(1030-1330),3,
03/04/2020 11:47:59,"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",5,
03/04/2020 13:36:20,Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Tarde(1330-1630),3,"Procesado de datos de laboratorio, mas precisamente espectros"
03/04/2020 14:12:20,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),6,
03/04/2020 18:17:11,Ninguna,"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",3,Aplicaciones de Python en biología 
03/04/2020 23:53:30,Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),1,
04/04/2020 07:55:21,Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),1,
04/04/2020 09:55:16,Ninguna,Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Ninguna,1,
04/04/2020 13:35:21,Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),2,
04/04/2020 13:40:15,Mañana(1030-1330),"Mañana(1030-1330), Tarde(1330-1630)",Mañana(1030-1330),"Mañana(1030-1330), Tarde(1330-1630)",Mañana(1030-1330),1,
04/04/2020 14:20:55,Mañana(1030-1330),"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",Mañana(1030-1330),1,
