date/time: .11/02/2014.11:45 a.m.
Run 1

time	(V)	V	(V)
0.006563	2.895410E-1	-2.792914E-1	6.345955E-2
0.006625	2.995827E-1	-2.517531E-1	6.410651E-2
0.006688	3.071140E-1	-2.367321E-1	6.216564E-2
0.006750	3.146453E-1	-2.417391E-1	6.216564E-2
0.006813	3.297078E-1	-2.016833E-1	6.281260E-2
0.006875	3.372391E-1	-1.466066E-1	6.216564E-2
0.006938	3.397495E-1	-9.904035E-2	6.087172E-2
0.007000	3.447704E-1	-6.899850E-2	6.087172E-2
0.007063	3.347287E-1	-3.895665E-2	6.022476E-2
0.007125	3.422600E-1	1.612006E-2	6.087172E-2
0.007188	3.422600E-1	5.867934E-2	6.216564E-2
0.007250	3.372391E-1	8.872119E-2	6.151868E-2
0.007313	3.297078E-1	1.112526E-1	6.151868E-2
0.007375	3.246870E-1	1.437979E-1	6.216564E-2
0.007438	3.196661E-1	1.913642E-1	6.410651E-2
0.007500	3.096244E-1	2.239095E-1	6.410651E-2
0.007563	2.995827E-1	2.414339E-1	6.410651E-2
0.007625	2.970723E-1	2.739792E-1	6.475347E-2
0.007688	2.895410E-1	3.115315E-1	6.410651E-2
0.007750	2.769889E-1	3.465804E-1	6.216564E-2
0.007813	2.619263E-1	3.616013E-1	6.151868E-2
0.007875	2.493742E-1	3.916431E-1	6.216564E-2
0.007938	2.418429E-1	4.442164E-1	6.281260E-2
0.008000	2.242700E-1	4.742582E-1	6.022476E-2
0.008063	2.092074E-1	4.892791E-1	6.087172E-2
0.008125	1.866136E-1	5.718942E-1	6.087172E-2
0.008188	1.640197E-1	6.269709E-1	6.087172E-2
0.008250	1.414259E-1	6.369849E-1	6.022476E-2
0.008313	1.213425E-1	6.344814E-1	6.216564E-2
0.008375	1.012591E-1	6.595163E-1	6.216564E-2
0.008438	7.615485E-2	7.045790E-1	6.216564E-2
0.008500	5.607144E-2	7.471383E-1	6.281260E-2
0.008563	3.347761E-2	7.997115E-1	6.345955E-2
0.008625	1.088378E-2	8.923406E-1	6.345955E-2
0.008688	-1.668347E-3	1.102633E+0	6.410651E-2
0.008750	-2.426218E-2	1.533233E+0	6.475347E-2
0.008813	-4.183516E-2	2.026420E+0	6.216564E-2
0.008875	-6.442899E-2	2.159105E+0	6.216564E-2
0.008938	-8.702282E-2	1.826141E+0	6.216564E-2
0.009000	-9.455410E-2	1.365500E+0	6.216564E-2
0.009063	-1.171479E-1	1.052564E+0	6.216564E-2
0.009125	-1.297001E-1	8.522848E-1	6.087172E-2
0.009188	-1.472730E-1	7.221034E-1	6.087172E-2
0.009250	-1.673564E-1	6.369849E-1	6.151868E-2
0.009313	-1.799086E-1	5.668872E-1	6.087172E-2
0.009375	-1.949711E-1	5.043001E-1	6.216564E-2
0.009438	-2.100337E-1	4.567338E-1	6.216564E-2
0.009500	-2.250962E-1	4.316989E-1	6.281260E-2
0.009563	-2.376484E-1	3.941466E-1	6.216564E-2
0.009625	-2.527109E-1	3.540908E-1	6.216564E-2
0.009688	-2.602422E-1	3.315594E-1	6.345955E-2
0.009750	-2.702839E-1	3.215455E-1	6.410651E-2
0.009813	-2.753047E-1	3.040211E-1	6.345955E-2
0.009875	-2.878569E-1	2.664688E-1	6.281260E-2
0.009938	-2.978986E-1	2.514479E-1	6.345955E-2
0.010000	-3.029194E-1	2.489444E-1	6.281260E-2
0.010063	-3.079403E-1	2.389304E-1	6.216564E-2
0.010125	-3.129611E-1	1.763432E-1	6.216564E-2
0.010188	-3.204924E-1	1.337840E-1	6.022476E-2
0.010250	-3.230028E-1	1.012386E-1	6.087172E-2
