8.000000000000000000e+00 2.500000000000000000e+01
1.320000000000000000e+02 1.390000000000000000e+02
2.480000000000000000e+02 2.400000000000000000e+02
3.680000000000000000e+02 3.290000000000000000e+02
4.880000000000000000e+02 4.080000000000000000e+02
6.080000000000000000e+02 4.780000000000000000e+02
7.280000000000000000e+02 5.400000000000000000e+02
8.480000000000000000e+02 5.950000000000000000e+02
9.680000000000000000e+02 6.440000000000000000e+02
1.088000000000000000e+03 6.870000000000000000e+02
1.208000000000000000e+03 7.250000000000000000e+02
1.328000000000000000e+03 7.590000000000000000e+02
1.448000000000000000e+03 7.890000000000000000e+02
1.568000000000000000e+03 8.160000000000000000e+02
1.688000000000000000e+03 8.390000000000000000e+02
1.808000000000000000e+03 8.600000000000000000e+02
1.928000000000000000e+03 8.790000000000000000e+02
2.048000000000000000e+03 8.950000000000000000e+02
2.168000000000000000e+03 9.100000000000000000e+02
2.288000000000000000e+03 9.230000000000000000e+02
2.408000000000000000e+03 9.340000000000000000e+02
2.528000000000000000e+03 9.440000000000000000e+02
2.648000000000000000e+03 9.530000000000000000e+02
2.768000000000000000e+03 9.610000000000000000e+02
2.888000000000000000e+03 9.680000000000000000e+02
3.008000000000000000e+03 9.740000000000000000e+02
3.128000000000000000e+03 9.800000000000000000e+02
3.248000000000000000e+03 9.850000000000000000e+02
3.368000000000000000e+03 9.890000000000000000e+02
3.488000000000000000e+03 9.930000000000000000e+02
3.608000000000000000e+03 9.970000000000000000e+02
3.728000000000000000e+03 1.000000000000000000e+03
3.848000000000000000e+03 1.002000000000000000e+03
3.968000000000000000e+03 1.004000000000000000e+03
4.088000000000000000e+03 1.006000000000000000e+03
4.208000000000000000e+03 1.008000000000000000e+03
4.328000000000000000e+03 1.010000000000000000e+03
4.448000000000000000e+03 1.012000000000000000e+03
4.568000000000000000e+03 1.013000000000000000e+03
4.688000000000000000e+03 1.014000000000000000e+03
4.808000000000000000e+03 1.015000000000000000e+03
4.928000000000000000e+03 1.016000000000000000e+03
5.048000000000000000e+03 1.017000000000000000e+03
5.168000000000000000e+03 1.017000000000000000e+03
5.288000000000000000e+03 1.018000000000000000e+03
